[2024-10-26T03:26:24.682+0530][0.073s][debug][gc,nmethod  ] Register NMethod: jdk.internal.misc.Unsafe.compareAndSetReference (0x0000029cc9b61288) [0x0000029cc9b613a0, 0x0000029cc9b61608] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.682+0530][0.073s][debug][gc,nmethod  ] Register NMethod: jdk.internal.misc.Unsafe.getReferenceAcquire (0x0000029cc1fd8d88) [0x0000029cc1fd8ea0, 0x0000029cc1fd8fd8] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.682+0530][0.073s][debug][gc,nmethod  ] Register NMethod: java.util.concurrent.ConcurrentHashMap.tabAt (0x0000029cc1fd9088) [0x0000029cc1fd91a0, 0x0000029cc1fd9458] Compiler: c1, Barriers: 1, Oops: 1, ImmediateOops: 1, NonImmediateOops: No
[2024-10-26T03:26:24.682+0530][0.073s][debug][gc,nmethod  ] Register NMethod: java.util.ImmutableCollections$SetN$SetNIterator.next (0x0000029cc1fd9488) [0x0000029cc1fd95e0, 0x0000029cc1fd9968] Compiler: c1, Barriers: 3, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.682+0530][0.073s][debug][gc,nmethod  ] Register NMethod: java.util.concurrent.ConcurrentHashMap.spread (0x0000029cc1fd9988) [0x0000029cc1fd9aa0, 0x0000029cc1fd9b98] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.683+0530][0.074s][debug][gc,nmethod  ] Register NMethod: java.util.concurrent.ConcurrentHashMap.putVal (0x0000029cc1fd9c88) [0x0000029cc1fd9fc0, 0x0000029cc1fdbc18] Compiler: c1, Barriers: 28, Oops: 0, ImmediateOops: 1, NonImmediateOops: No
[2024-10-26T03:26:24.683+0530][0.074s][debug][gc,nmethod  ] Register NMethod: java.util.concurrent.ConcurrentHashMap.addCount (0x0000029cc1fdbc88) [0x0000029cc1fdbe60, 0x0000029cc1fdc7c0] Compiler: c1, Barriers: 4, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.683+0530][0.074s][debug][gc,nmethod  ] Register NMethod: jdk.internal.util.ArraysSupport.unsignedHashCode (0x0000029cc9b61688) [0x0000029cc9b61780, 0x0000029cc9b61938] Compiler: c2, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.683+0530][0.074s][debug][gc,nmethod  ] Register NMethod: java.util.concurrent.ConcurrentHashMap$Node.<init> (0x0000029cc1fdc808) [0x0000029cc1fdc940, 0x0000029cc1fdcba0] Compiler: c1, Barriers: 6, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.683+0530][0.074s][debug][gc,nmethod  ] Register NMethod: java.lang.Object.<init> (0x0000029cc9b61988) [0x0000029cc9b61a80, 0x0000029cc9b61af8] Compiler: c2, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.684+0530][0.075s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToStatic (0x0000029cc9b61c88) [0x0000029cc9b61d80, 0x0000029cc9b61e90] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.684+0530][0.075s][debug][gc,nmethod  ] Register NMethod: java.lang.Enum.ordinal (0x0000029cc9b61f88) [0x0000029cc9b620a0, 0x0000029cc9b62168] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.684+0530][0.075s][debug][gc,nmethod  ] Register NMethod: java.lang.Object.hashCode (0x0000029cc9b62288) [0x0000029cc9b623a0, 0x0000029cc9b625c8] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.684+0530][0.075s][debug][gc,nmethod  ] Register NMethod: java.lang.Class.isPrimitive (0x0000029cc9b62608) [0x0000029cc9b62720, 0x0000029cc9b62938] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.685+0530][0.076s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToStatic (0x0000029cc9b62988) [0x0000029cc9b62a80, 0x0000029cc9b62b90] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.685+0530][0.076s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToStatic (0x0000029cc9b62c88) [0x0000029cc9b62d80, 0x0000029cc9b62e90] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.685+0530][0.076s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.invokeBasic (0x0000029cc9b62f88) [0x0000029cc9b630a0, 0x0000029cc9b63390] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.685+0530][0.076s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToSpecial (0x0000029cc9b63408) [0x0000029cc9b63500, 0x0000029cc9b63610] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.686+0530][0.077s][debug][gc,nmethod  ] Register NMethod: jdk.internal.util.StrongReferenceKey.get (0x0000029cc9b63708) [0x0000029cc9b63820, 0x0000029cc9b63918] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.686+0530][0.077s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.invokeBasic (0x0000029cc9b63a08) [0x0000029cc9b63b20, 0x0000029cc9b63e10] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.686+0530][0.077s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToSpecial (0x0000029cc9b63e88) [0x0000029cc9b63f80, 0x0000029cc9b64090] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.686+0530][0.077s][debug][gc,nmethod  ] Register NMethod: java.lang.Object.getClass (0x0000029cc9b64188) [0x0000029cc9b642c0, 0x0000029cc9b646d8] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
